group,Ble,Fonio,Mais,Mils,Riz,Sorgho
Benin,0,1167,1509758,26143,459313,319175
Burkina Faso,0,11270,1700127,1189079,160949,1929834
Cabo Verde,0,0,3893,0,0,0
Cote d'Ivoire,0,20556,1006000,64169,2109333,66052
Gambie,0,0,39383,98894,53809,29209
Ghana,0,0,2306384,181564,769401,316236
Guinee,0,477432,818544,214747,2339747,60570
Guinee-Bissau,0,738,7254,14788,171239,18609
Liberia,0,0,0,0,257995,0
Mali,29185,27868,3624950,1840321,3167528,1469688
Mauritanie,7349,0,15519,3293,232196,80218
Niger,980,6400,29536,3856344,101607,2100190
Nigeria,65433,83403,10155027,2240744,6809327,6862343
Sénegal,0,2742,264105,574000,762776,143020
Sierra Leone,0,0,22981,44639,919785,30823
Togo,0,0,886630,26082,145489,277240
