name,code,ExportationsQuantite,ExportationsValeur,ImportationsQuantite,ImportationsValeur
Benin,01,1379,625,163,67
Burkina Faso,02,69330,12587,265,13
Cape Verde,04,0,0,0,0
Cote d'Ivoire,03,1055,315,37328,2664
Gambia,06,35,24,816,374
Ghana,05,36,17,25011,10636
Guinea,07,0,0,38,2
Guinea-Bissau,08,0,0,0,0
Liberia,15,0,0,9,4
Mali,09,2174,711,25431,8542
Niger,10,14,5,203344,61427
Nigeria,11,29558,3536,89844,28309
Senegal,12,168,150,36117,10061
Sierra Leone,13,0,0,0,0
Togo,14,270,102,606,85
